Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 17:27:45.222,COM16,, -0.092, 0.046, 0.902, -2.991, -3.418, 91.858, 5.235, 1.137, -170.239, 15.953, -19.747, 15.127, 33.13,,,,,,,,,,,,,,,,
 17:27:45.225,COM16,, -0.092, 0.046, 1.021, -3.296, -2.991, 100.281, 5.164, 0.818, -164.235, 12.833, -16.773, 14.167, 33.13,,,,,,,,,,,,,,,,
 17:27:45.230,COM16,, -0.105, 0.021, 1.002, -3.235, 0.000, 105.530, 5.120, 0.626, -157.978, 9.887, -13.300, 13.213, 33.12,,,,,,,,,,,,,,,,
 17:27:45.268,COM14,, -0.129, -0.013, 0.970, -2.319, 0.488, -52.124, 1.467, 0.291, -31.712, -13.873, 17.473, -11.340, 31.44,,,,,,,,,,,,,,,,
 17:27:45.292,COM16,, -0.116, -0.013, 1.022, -3.479, -0.061, 113.037, 5.032, 0.379, -151.271, 6.480, -9.733, 11.693, 33.13,,,,,,,,,,,,,,,,
 17:27:45.293,COM13,, -0.088, -1.031, 0.027, -2.380, 51.636, -2.380, 3.126, 0.456, 30.520, -11.713, -17.360, 114.447, 31.79,,,,,,,,,,,,,,,,
 17:27:45.301,COM16,, -0.083, -0.057, 0.988, -2.991, -0.427, 110.596, 4.927, 0.187, -144.075, 2.920, -5.827, 10.267, 33.14,,,,,,,,,,,,,,,,
 17:27:45.341,COM14,, -0.054, -0.021, 0.944, -2.014, 0.671, -51.575, 1.351, 1.022, -37.463, -16.160, 16.093, -11.460, 31.43,,,,,,,,,,,,,,,,
 17:27:45.357,COM16,, -0.085, -0.111, 0.938, -2.747, -1.526, 99.915, 4.417, 0.132, -136.857, -0.220, -1.520, 7.853, 33.12,,,,,,,,,,,,,,,,
 17:27:45.361,COM16,, -0.063, -0.034, 0.994, -2.930, -4.028, 86.975, 3.774, -0.181, -124.750, -3.453, 1.233, 5.373, 33.14,,,,,,,,,,,,,,,,
 17:27:45.363,COM16,, -0.058, -0.106, 0.953, -3.174, -2.197, 79.346, 3.137, -0.439, -112.181, -5.567, 3.433, 2.247, 33.12,,,,,,,,,,,,,,,,
 17:27:45.373,COM13,, -0.114, -1.032, 0.086, -0.671, 51.270, 0.427, 3.181, 1.000, 25.334, -11.733, -16.047, 112.327, 31.80,,,,,,,,,,,,,,,,
 17:27:45.398,COM16,, -0.083, -0.060, 1.015, -1.465, -1.526, 77.881, 2.653, -0.500, -101.223, -7.753, 3.947, 0.113, 33.11,,,,,,,,,,,,,,,,
 17:27:45.446,COM14,, -0.051, 0.042, 1.040, -2.869, 0.916, -50.171, 1.176, 1.615, -43.176, -17.293, 14.567, -11.387, 31.43,,,,,,,,,,,,,,,,
 17:27:45.454,COM13,, -0.025, -0.983, -0.044, 0.549, 49.255, 0.916, 3.137, 1.373, 20.198, -13.760, -14.967, 110.113, 31.82,,,,,,,,,,,,,,,,
 17:27:45.515,COM16,, -0.036, -0.068, 0.958, -1.343, 1.160, 77.820, 2.291, -0.445, -91.555, -9.467, 3.733, -1.220, 33.17,,,,,,,,,,,,,,,,
 17:27:45.527,COM14,, 0.000, 0.042, 1.099, -3.174, 1.343, -44.678, 0.928, 2.087, -48.697, -19.013, 14.060, -11.560, 31.41,,,,,,,,,,,,,,,,
 17:27:45.561,COM13,, 0.019, -1.090, -0.122, 0.549, 42.358, 0.305, 2.763, 1.599, 15.167, -13.713, -14.013, 108.307, 31.80,,,,,,,,,,,,,,,,
 17:27:45.635,COM14,, -0.001, 0.016, 0.996, -4.089, 0.610, -38.635, 0.742, 2.395, -53.849, -20.633, 12.487, -11.940, 31.40,,,,,,,,,,,,,,,,
 17:27:45.669,COM13,, 0.038, -1.055, -0.114, -0.427, 35.828, 2.075, 2.560, 1.544, 10.508, -14.407, -13.373, 108.100, 31.82,,,,,,,,,,,,,,,,
 17:27:45.713,COM16,, -0.041, -0.055, 0.903, -1.770, -3.418, 73.486, 2.000, -0.253, -82.793, -10.293, 3.913, -4.147, 33.13,,,,,,,,,,,,,,,,
 17:27:45.735,COM16,, -0.042, -0.002, 0.962, -3.235, 0.000, 75.562, 1.813, -0.093, -75.322, -9.553, 1.307, -6.660, 33.12,,,,,,,,,,,,,,,,
 17:27:45.767,COM14,, -0.022, -0.010, 0.994, -1.099, 3.235, -30.701, 0.544, 2.642, -58.277, -20.587, 10.520, -11.833, 31.41,,,,,,,,,,,,,,,,
 17:27:45.773,COM13,, 0.045, -1.056, -0.033, -8.850, 28.137, -5.981, 2.422, 1.527, 6.553, -14.700, -12.413, 108.153, 31.83,,,,,,,,,,,,,,,,
 17:27:45.848,COM14,, 0.003, -0.004, 1.216, -1.465, 1.465, -20.935, 0.313, 2.823, -61.930, -22.693, 10.680, -12.267, 31.41,,,,,,,,,,,,,,,,
 17:27:45.854,COM13,, 0.013, -1.052, -0.109, 2.563, 17.822, 2.930, 2.043, 1.577, 3.307, -15.913, -12.133, 106.227, 31.82,,,,,,,,,,,,,,,,
 17:27:45.866,COM16,, -0.064, -0.017, 0.938, -3.784, 4.211, 80.139, 1.769, 0.302, -69.351, -8.787, -2.820, -5.907, 33.15,,,,,,,,,,,,,,,,
 17:27:45.930,COM14,, 0.026, -0.011, 1.036, -2.014, 0.183, -10.315, 0.181, 2.950, -64.764, -22.827, 8.953, -12.333, 31.45,,,,,,,,,,,,,,,,
 17:27:45.961,COM13,, 0.063, -1.058, -0.193, -0.793, 6.165, 1.160, 1.555, 1.472, 0.934, -14.620, -12.053, 106.033, 31.82,,,,,,,,,,,,,,,,
 17:27:46.054,COM13,, 0.071, -1.017, -0.197, -2.502, -6.958, 0.061, 1.071, 1.252, -0.330, -13.800, -12.173, 106.220, 31.82,,,,,,,,,,,,,,,,
 17:27:46.070,COM14,, 0.027, -0.019, 0.889, -1.282, -0.122, 2.136, 0.093, 3.005, -66.533, -24.733, 8.880, -12.933, 31.44,,,,,,,,,,,,,,,,
 17:27:46.126,COM14,, 0.026, -0.070, 0.959, 0.000, -1.099, 17.517, -0.027, 2.994, -67.121, -26.733, 9.040, -13.600, 31.41,,,,,,,,,,,,,,,,
 17:27:46.161,COM13,, 0.152, -1.068, -0.248, -4.089, -21.179, -2.380, 0.500, 1.022, -0.341, -13.127, -12.067, 106.433, 31.81,,,,,,,,,,,,,,,,
 17:27:46.232,COM14,, 0.078, -0.092, 1.039, 0.061, -0.732, 31.189, -0.176, 2.911, -66.478, -29.767, 8.500, -15.033, 31.43,,,,,,,,,,,,,,,,
 17:27:46.269,COM13,, 0.147, -1.056, -0.236, 2.441, -34.546, 2.930, -0.187, 0.764, 1.066, -11.993, -12.513, 106.633, 31.77,,,,,,,,,,,,,,,,
 17:27:46.339,COM14,, 0.009, -0.100, 1.064, 0.793, -1.038, 40.405, -0.341, 2.719, -64.589, -33.773, 10.140, -17.780, 31.41,,,,,,,,,,,,,,,,
 17:27:46.374,COM13,, 0.170, -1.062, -0.212, -1.587, -44.495, -2.625, -0.747, 0.374, 3.889, -12.227, -12.673, 106.733, 31.77,,,,,,,,,,,,,,,,
 17:27:46.425,COM14,, 0.087, -0.127, 0.980, 1.160, -1.587, 49.072, -0.533, 2.466, -61.721, -39.607, 11.640, -22.920, 31.43,,,,,,,,,,,,,,,,
 17:27:46.455,COM13,, 0.112, -1.032, -0.206, -1.343, -50.476, -1.587, -1.351, 0.192, 7.767, -10.567, -12.593, 106.640, 31.82,,,,,,,,,,,,,,,,
 17:27:46.532,COM14,, 0.061, -0.103, 0.961, 1.953, -2.197, 52.979, -0.725, 2.208, -58.167, -46.907, 14.107, -32.513, 31.44,,,,,,,,,,,,,,,,
 17:27:46.564,COM13,, 0.106, -1.034, -0.145, -2.319, -54.565, -1.709, -1.901, -0.055, 12.513, -10.500, -12.613, 106.060, 31.83,,,,,,,,,,,,,,,,
 17:27:46.644,COM14,, 0.102, -0.156, 0.881, 1.465, -1.648, 55.603, -0.912, 1.961, -54.250, -52.400, 18.180, -48.380, 31.45,,,,,,,,,,,,,,,,
