Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 09:57:54.384,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, 0.063, 0, 0.983, -0.244, 24.475, 0,,,,,,, -90.198, -17.693, -13.48, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:54.399,d2:5a:50:4a:21:12, 2024-09-04 09:57:49.211, -0.962, -0.025, 0.352, 0.244, 60.791, 0,,,,,,, 62.748, 57.997, -16.512, 7.644, 6.272, -39.200, 23.08, 0.99371, -0.02106, 0.09027, 0.06198,
 09:57:54.444,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, 0.035, 0, 0.985, -0.305, 24.963, 0,,,,,,, -90.214, -16.562, -13.436, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:54.459,d2:5a:50:4a:21:12, 2024-09-04 09:57:49.211, -0.984, -0.026, 0.25, 0.183, 60.669, 0,,,,,,, 62.358, 64.265, -20.912, 7.644, 6.272, -39.200, 23.08, 0.99371, -0.02106, 0.09027, 0.06198,
 09:57:54.503,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, 0.018, 0, 0.984, -0.305, 26.55, 0,,,,,,, -90.225, -15.375, -13.398, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:54.564,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, -0.017, 0, 0.984, -0.305, 27.222, 0,,,,,,, -90.236, -14.139, -13.354, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:54.564,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, -0.03, 0, 0.983, -0.305, 27.649, 0,,,,,,, -90.247, -12.865, -13.315, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:54.578,d2:5a:50:4a:21:12, 2024-09-04 09:57:49.211, -0.994, -0.025, 0.147, 0.183, 61.584, 0,,,,,,, 61.584, 70.565, -25.285, 7.644, 6.272, -39.200, 23.08, 0.99371, -0.02106, 0.09027, 0.06198,
 09:57:54.654,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, -0.067, -0.001, 0.982, -0.244, 28.32, 0,,,,,,, -90.264, -11.563, -13.271, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:54.669,d2:5a:50:4a:21:12, 2024-09-04 09:57:49.211, -1, -0.025, 0.043, 0.244, 61.035, 0,,,,,,, 59.76, 76.827, -30.256, 37.534, 2.744, -8.624, 23.08, 0.99371, -0.02106, 0.09027, 0.06198,
